PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI
109.48,118.12710293078136,22.86,23.48347601937197,4.3,46.6,31.34,285.0
126.04,118.12710293078136,26.78,23.48347601937197,6.99,79.56,28.71,321.0
71.22,118.12710293078136,37.58,23.48347601937197,16.73,50.09,28.39,358.0
97.87,118.12710293078136,23.45,23.48347601937197,6.3,13.85,34.16,357.0
63.38,118.12710293078136,15.44,23.48347601937197,3.44,24.79,43.62,189.0
75.29,118.12710293078136,17.97,23.48347601937197,3.35,76.05,60.71,166.4635814889336
80.9,118.12710293078136,24.23,23.48347601937197,5.7,65.44,22.8,214.0
103.29,118.12710293078136,23.69,23.48347601937197,4.55,85.42,22.18,253.0
107.5,118.12710293078136,19.73,23.48347601937197,5.29,74.37,10.12,239.0
161.14,118.12710293078136,16.12,23.48347601937197,3.11,118.35,59.73,166.4635814889336
102.58,118.12710293078136,16.82,23.48347601937197,3.88,41.94,26.89,166.4635814889336
138.42,118.12710293078136,21.56,23.48347601937197,5.05,77.74,27.18,300.0
129.04,118.12710293078136,19.66,23.48347601937197,5.69,78.27,18.67,317.0
96.65,118.12710293078136,20.53,23.48347601937197,4.67,39.41,11.83,240.0
126.77,118.12710293078136,39.73,23.48347601937197,15.69,93.18,36.71,344.0
106.15,118.12710293078136,35.05,23.48347601937197,13.12,65.95,81.6,503.0
86.31,118.12710293078136,10.9,23.48347601937197,2.69,50.13,90.54,308.0
83.99,118.12710293078136,2.75,23.48347601937197,2.73,34.06,69.57,227.0
65.11,118.12710293078136,6.75,23.48347601937197,3.14,22.27,32.26,120.0
51.03,118.12710293078136,26.2,23.48347601937197,6.24,15.5,31.44,158.0
38.73,118.12710293078136,26.61,23.48347601937197,8.0,20.13,25.7,177.0
61.12,118.12710293078136,27.18,23.48347601937197,9.94,39.69,25.9,201.0
58.44,118.12710293078136,27.38,23.48347601937197,10.68,54.69,18.89,211.0
61.49,118.12710293078136,27.61,23.48347601937197,11.44,42.66,18.2,221.0
65.39,118.12710293078136,27.86,23.48347601937197,12.3,27.96,22.35,233.0
100.92,118.12710293078136,37.83,23.48347601937197,20.42,31.9,22.84,481.0
97.48,118.12710293078136,33.62,23.48347601937197,5.31,36.05,16.26,352.0
129.27,118.12710293078136,41.92,23.48347601937197,14.28,70.13,25.4,327.0
129.58,118.12710293078136,45.4,23.48347601937197,21.23,17.66,34.42,577.0
100.57,118.12710293078136,24.33,23.48347601937197,7.56,38.76,38.83,411.0
130.34,118.12710293078136,23.72,23.48347601937197,7.14,52.07,29.05,212.0
53.24,118.12710293078136,23.34,23.48347601937197,8.05,36.23,21.58,280.0
42.0,118.12710293078136,21.8,23.48347601937197,10.44,17.0,25.5,162.0
50.1,118.12710293078136,22.5,23.48347601937197,9.46,30.67,12.91,166.4635814889336
83.69,118.12710293078136,27.15,23.48347601937197,10.89,41.12,35.61,569.0
38.88,118.12710293078136,17.74,23.48347601937197,2.18,26.4,12.47,128.0
46.89,118.12710293078136,18.49,23.48347601937197,2.96,41.96,10.74,129.0
70.96,118.12710293078136,19.28,23.48347601937197,4.12,23.67,16.01,152.0
53.66,118.12710293078136,18.06,23.48347601937197,4.23,14.46,45.64,176.0
45.49,118.12710293078136,17.1,23.48347601937197,4.26,12.85,71.85,167.0
60.86,118.12710293078136,21.42,23.48347601937197,5.27,14.91,41.19,106.0
